epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
97,5514.61,1.08977,2.36226,0.89039,1.06526,0,0.57937,0.44981,0.47295,0.30532,0.57573,0.43341,0.4489,0.26475,1.30194,2.7563,1.12963,1.20476,0,0.000305211,0.000305211,0.000305211
98,5569.86,1.09,2.33208,0.8797,1.0604,0,0.57118,0.43633,0.45613,0.30203,0.5777,0.43432,0.44666,0.26768,1.30039,2.74177,1.12471,1.20307,0,0.000299713,0.000299713,0.000299713
99,5630.19,1.0841,2.35422,0.88277,1.0589,0,0.53435,0.45984,0.4626,0.30099,0.5722,0.44507,0.45765,0.26881,1.29741,2.75016,1.12137,1.20518,0,0.000294216,0.000294216,0.000294216
100,5686.84,1.09905,2.37565,0.89699,1.06443,0,0.53801,0.43064,0.46109,0.314,0.57461,0.40837,0.45208,0.27023,1.29648,2.73936,1.1181,1.1995,0,0.000288718,0.000288718,0.000288718
101,5741.89,1.07912,2.32536,0.8817,1.05892,0,0.52415,0.46934,0.46939,0.31617,0.59384,0.41574,0.46399,0.27589,1.29253,2.75066,1.11611,1.19552,0,0.00028322,0.00028322,0.00028322
102,5796.83,1.09757,2.37955,0.8913,1.0611,0,0.51057,0.4799,0.46349,0.31142,0.49805,0.46063,0.448,0.26898,1.28709,2.74057,1.12232,1.19374,0,0.000277722,0.000277722,0.000277722
103,5852.3,1.09641,2.36591,0.89719,1.0668,0,0.59444,0.41471,0.45123,0.30584,0.59581,0.40661,0.44422,0.26762,1.29605,2.75616,1.11878,1.20226,0,0.000272224,0.000272224,0.000272224
104,5907.25,1.08774,2.34239,0.87188,1.05634,0,0.62113,0.42278,0.46626,0.31177,0.62516,0.40721,0.45594,0.2723,1.29969,2.73996,1.12,1.20165,0,0.000266727,0.000266727,0.000266727
105,5967.67,1.09905,2.36855,0.8955,1.06414,0,0.60488,0.4128,0.45406,0.30323,0.55824,0.43207,0.44646,0.27173,1.30013,2.75333,1.12325,1.20261,0,0.000261229,0.000261229,0.000261229
106,6022.32,1.08328,2.32914,0.87147,1.05774,0,0.53862,0.45728,0.46622,0.31266,0.53351,0.45302,0.45659,0.27968,1.29651,2.75949,1.12203,1.20144,0,0.000255731,0.000255731,0.000255731
107,6077.3,1.08353,2.33558,0.86892,1.05725,0,0.56006,0.42791,0.4495,0.30592,0.56812,0.4379,0.45712,0.27106,1.30069,2.75593,1.12699,1.20207,0,0.000250233,0.000250233,0.000250233
108,6132.23,1.08612,2.36768,0.87556,1.0563,0,0.5678,0.41263,0.45534,0.30421,0.62268,0.40123,0.44968,0.26827,1.30093,2.75539,1.12484,1.19997,0,0.000244735,0.000244735,0.000244735
109,6191.34,1.08232,2.33239,0.8713,1.05788,0,0.56031,0.42522,0.46385,0.31212,0.6012,0.41005,0.46132,0.27265,1.29731,2.74649,1.11644,1.20125,0,0.000239238,0.000239238,0.000239238
110,6246.28,1.07635,2.33145,0.87733,1.05353,0,0.51995,0.44269,0.45583,0.30279,0.52355,0.44206,0.45268,0.27256,1.30226,2.75146,1.11905,1.20679,0,0.00023374,0.00023374,0.00023374
111,6305.56,1.07022,2.32228,0.86156,1.04909,0,0.52057,0.44683,0.46375,0.30678,0.63678,0.39175,0.4546,0.27475,1.29466,2.75098,1.11589,1.2024,0,0.000228242,0.000228242,0.000228242
112,6359.94,1.07857,2.34572,0.87483,1.05945,0,0.55116,0.43058,0.46389,0.31102,0.58528,0.41544,0.45914,0.27023,1.29396,2.7533,1.11336,1.19778,0,0.000222744,0.000222744,0.000222744
113,6415.02,1.07685,2.33636,0.87362,1.05424,0,0.53361,0.45558,0.46289,0.30612,0.5256,0.44965,0.45447,0.27156,1.29838,2.75839,1.11112,1.20106,0,0.000217246,0.000217246,0.000217246
114,6470.42,1.07769,2.32557,0.87234,1.05529,0,0.53863,0.45804,0.46349,0.31211,0.53342,0.44515,0.45513,0.27312,1.29301,2.75432,1.10504,1.19579,0,0.000211749,0.000211749,0.000211749
115,6525.29,1.08712,2.3577,0.87047,1.05804,0,0.64237,0.40667,0.46766,0.31325,0.63321,0.40472,0.45909,0.275,1.2882,2.75458,1.11199,1.19931,0,0.000206251,0.000206251,0.000206251
116,6581.14,1.08507,2.34523,0.86956,1.05832,0,0.50626,0.50003,0.47087,0.31629,0.52402,0.47697,0.46606,0.28007,1.29807,2.75429,1.12107,1.19974,0,0.000200753,0.000200753,0.000200753
117,6635.58,1.08224,2.34701,0.8662,1.05768,0,0.53573,0.46238,0.47273,0.31583,0.54927,0.44599,0.46829,0.27934,1.29563,2.75976,1.11588,1.19789,0,0.000195255,0.000195255,0.000195255
118,6695.15,1.07817,2.3494,0.86292,1.05389,0,0.67299,0.40445,0.47821,0.31375,0.66897,0.3943,0.46696,0.27642,1.2979,2.76017,1.11807,1.20338,0,0.000189757,0.000189757,0.000189757
119,6749.73,1.06284,2.30711,0.861,1.04866,0,0.54732,0.46294,0.47932,0.31383,0.54573,0.45886,0.4724,0.27812,1.29548,2.7554,1.11292,1.20301,0,0.00018426,0.00018426,0.00018426
120,6804.82,1.07749,2.32846,0.85997,1.05201,0,0.56572,0.44254,0.4694,0.3101,0.56654,0.43962,0.46252,0.26991,1.2972,2.75395,1.12081,1.20275,0,0.000178762,0.000178762,0.000178762
121,6860.4,1.07263,2.33626,0.85616,1.05204,0,0.56181,0.44764,0.46648,0.31293,0.55974,0.44168,0.46232,0.27638,1.29978,2.75414,1.12142,1.20202,0,0.000173264,0.000173264,0.000173264
